Description: this dataset shows number of WaterCure units sold per day and the corresponding daily temperature from January 2024 to August 2024,,,
,,,
Date,Daily Units Sold,Daily Unit Price,Daily Temperature (C)
1/1/2024,91,24,25
1/2/2024,90,24,24
1/3/2024,70,24,19
1/4/2024,89,24,23
1/5/2024,100,24,36
1/6/2024,69,24,18
1/7/2024,88,24,21
1/8/2024,91,24,26
1/9/2024,93,24,28
1/10/2024,90,24,24
1/11/2024,89,24,23
1/12/2024,68,24,17
1/13/2024,88,24,21
1/14/2024,93,24,28
1/15/2024,92,24,27
1/16/2024,91,24,26
1/17/2024,100,24,36
1/18/2024,95,24,30
1/19/2024,89,24,23
1/20/2024,88,24,21
1/21/2024,91,24,26
1/22/2024,90,24,24
1/23/2024,88,24,22
1/24/2024,95,24,30
1/25/2024,88,24,22
1/26/2024,70,24,19
1/27/2024,92,24,27
1/28/2024,97,24,33
1/29/2024,95,24,30
1/30/2024,91,24,26
1/31/2024,96,24,32
2/1/2024,88,23.5,26
2/2/2024,85,23.5,23
2/3/2024,88,23.5,26
2/4/2024,76,23.5,20
2/5/2024,83,23.5,21
2/6/2024,76,23.5,20
2/7/2024,76,23.5,20
2/8/2024,76,23.5,20
2/9/2024,93,23.5,32
2/10/2024,86,23.5,24
2/11/2024,83,23.5,21
2/12/2024,86,23.5,25
2/13/2024,89,23.5,27
2/14/2024,86,23.5,24
2/15/2024,85,23.5,23
2/16/2024,86,23.5,24
2/17/2024,91,23.5,30
2/18/2024,86,23.5,24
2/19/2024,90,23.5,29
2/20/2024,92,23.5,31
2/21/2024,93,23.5,33
2/22/2024,94,23.5,34
2/23/2024,86,23.5,24
2/24/2024,64,23.5,16
2/25/2024,86,23.5,25
2/26/2024,84,23.5,22
2/27/2024,66,23.5,18
2/28/2024,76,23.5,20
2/29/2024,65,23.5,17
3/1/2024,80,22,21
3/2/2024,80,22,21
3/3/2024,72,22,20
3/4/2024,81,22,22
3/5/2024,82,22,24
3/6/2024,88,22,31
3/7/2024,63,22,17
3/8/2024,83,22,25
3/9/2024,84,22,26
3/10/2024,88,22,30
3/11/2024,80,22,21
3/12/2024,81,22,22
3/13/2024,63,22,18
3/14/2024,63,22,18
3/15/2024,82,22,24
3/16/2024,72,22,20
3/17/2024,85,22,28
3/18/2024,83,22,25
3/19/2024,82,22,24
3/20/2024,80,22,21
3/21/2024,81,22,23
3/22/2024,63,22,18
3/23/2024,84,22,26
3/24/2024,82,22,24
3/25/2024,83,22,25
3/26/2024,81,22,23
3/27/2024,81,22,23
3/28/2024,85,22,28
3/29/2024,80,22,21
3/30/2024,62,22,15
3/31/2024,72,22,20
4/1/2024,80,21.5,23
4/2/2024,71,21.5,20
4/3/2024,63,21.5,19
4/4/2024,60,21.5,15
4/5/2024,71,21.5,20
4/6/2024,63,21.5,19
4/7/2024,62,21.5,18
4/8/2024,79,21.5,22
4/9/2024,62,21.5,18
4/10/2024,80,21.5,23
4/11/2024,79,21.5,22
4/12/2024,71,21.5,20
4/13/2024,62,21.5,18
4/14/2024,80,21.5,23
4/15/2024,58,21.5,12
4/16/2024,81,21.5,24
4/17/2024,71,21.5,20
4/18/2024,61,21.5,16
4/19/2024,78,21.5,21
4/20/2024,63,21.5,19
4/21/2024,71,21.5,20
4/22/2024,81,21.5,25
4/23/2024,71,21.5,20
4/24/2024,79,21.5,22
4/25/2024,81,21.5,25
4/26/2024,61,21.5,16
4/27/2024,78,21.5,21
4/28/2024,71,21.5,20
4/29/2024,81,21.5,24
4/30/2024,61,21.5,16
5/1/2024,69,21,20
5/2/2024,60,21,17
5/3/2024,69,21,20
5/4/2024,69,21,20
5/5/2024,69,21,20
5/6/2024,69,21,20
5/7/2024,60,21,17
5/8/2024,61,21,19
5/9/2024,69,21,20
5/10/2024,61,21,19
5/11/2024,61,21,19
5/12/2024,60,21,17
5/13/2024,61,21,18
5/14/2024,59,21,16
5/15/2024,60,21,17
5/16/2024,59,21,16
5/17/2024,59,21,16
5/18/2024,78,21,22
5/19/2024,78,21,22
5/20/2024,77,21,21
5/21/2024,69,21,20
5/22/2024,57,21,13
5/23/2024,59,21,15
5/24/2024,69,21,20
5/25/2024,79,21,24
5/26/2024,59,21,16
5/27/2024,61,21,18
5/28/2024,57,21,13
5/29/2024,79,21,24
5/30/2024,77,21,21
5/31/2024,59,21,15
6/1/2024,60,20.5,19
6/2/2024,55,20.5,12
6/3/2024,59,20.5,17
6/4/2024,57,20.5,14
6/5/2024,57,20.5,14
6/6/2024,68,20.5,20
6/7/2024,59,20.5,17
6/8/2024,55,20.5,12
6/9/2024,56,20.5,13
6/10/2024,59,20.5,17
6/11/2024,59,20.5,18
6/12/2024,54,20.5,10
6/13/2024,59,20.5,18
6/14/2024,59,20.5,17
6/15/2024,59,20.5,17
6/16/2024,55,20.5,11
6/17/2024,56,20.5,13
6/18/2024,59,20.5,18
6/19/2024,59,20.5,17
6/20/2024,57,20.5,14
6/21/2024,57,20.5,15
6/22/2024,53,20.5,7
6/23/2024,58,20.5,16
6/24/2024,57,20.5,14
6/25/2024,59,20.5,17
6/26/2024,68,20.5,20
6/27/2024,58,20.5,16
6/28/2024,58,20.5,16
